voter_id	voter_surname	voter_name
272	Pilip	Ivan
273	Plachı	Jaroslav
274	Plechatá	Ivana
275	Pleva	Petr
276	Ruml	Jan
277	Sehoø	Karel
278	Švrèek	Zdenìk
279	Tyl	Miroslav
280	Vidím	Jan
281	Vodièka	Jindøich
282	Vojíø	Oldøich
283	Zajíèek	Zdenìk
284	Zieleniec	Josef
285	Zvìøina	Jaroslav
286	Bratinka	Pavel
287	Èeška	Roman
288	Dlouhı	Vladimír
289	Kroupa	Daniel
290	Kudláèek	Libor
291	Kulka	Dušan
292	Navrátil	Dušan
293	Prokop	Michal
294	Skalickı	Jiøí
295	Ambrozek	Libor
296	Borák	Josef
297	Holáò	Vilém
298	Jurková	Pavla
299	Lux	Josef
300	Orel	Jaroslav
301	Šojdrová	Michaela
302	Talíø	Jaromír
303	Filip	Vojtìch
304	Gongol	Jaroslav
305	Grebeníèek	Miroslav
306	Houzák	Josef
307	Jirousová	Taána
308	Klanica	Zdenìk
309	Kováèik	Pavel
310	Maštálka	Jiøí
311	Ransdorf	Miloslav
312	Bebarová Rujbrová	Zuzka
313	Svobodová	Alena
314	Šimùnek	Petr
315	Škorpilová	Hana
316	Vacek	Miroslav
317	Vymìtal	Karel
318	Hrùzová	Vlasta
319	Krampera	Zdenìk
320	Krejsa	Josef
321	Maixner	Pavel
322	Nehera	Jindøich
323	Nıvltová	Radomíra
324	Pešková	Jana
325	Rajsiglová	Laura
326	Sládek	Miroslav
327	Smetana	Martin
328	Šmucr	Rudolf
329	Vrcha	Oldøich
330	Vrzáò	Petr
331	Zajíc	Petr
332	Zajícová	Blanka
333	Grùza	Jan
334	Procházka	Vladimír
335	Kladívko	Tomáš
336	Kynèl	Milan
337	Molín	Josef
338	Nìmec	Igor
339	Leština	Miroslav
340	Parkanová	Vlasta
341	Èernota	Jiøí
342	Šnajdauf	František
343	Hrubı	Václav
344	Aubrecht	Vlastimil
345	Bartoš	Walter
346	Bendl	Petr
347	Beneš	Miroslav
348	Bílı	Jiøí
349	Boháèková	Jarmila
350	Brousek	Václav
351	Brtnickı	Jiøí
352	Bubník	Augustin
353	Cabrnoch	Milan
354	Èernı	Karel
355	David	Ivan
356	Doktor	Michal
357	Doleal	Vladimír
358	Dostálová	Kateøina
359	Drda	Jiøí
360	Dundáèková	Eva
361	Fischer	Stanislav
362	Grega	Andrej
363	Grüner	Václav
364	Hanaèíková	Ivana
365	Hanuš	Václav
366	Hojda	Pavel
367	Hönig	Pavel
368	Mihalièková	Monika
369	Hort	Petr
370	Hradil	Vladimír
371	Hrnèíø	Pavel
372	Chytka	Radim
373	Jalùvka	Josef
374	Jeek	Libor
375	Jeek	Josef
